cusine,name,voteCount,rating,address,cusine,cost,timing
"North Indian, Continental",Peter Cat,12404 votes,4.2,"18A, Park Street, Park Street Area, Kolkata","North Indian, Continental","₹1,000",11am – 11:20pm (Mon-Sun)
"North Indian, Continental",Naturals Ice Cream,2498 votes,4.9,"77/1/A, Ground Floor, Near West Bengal Board, Park Street Area, Kolkata","North Indian, Continental",₹200,11am – 12midnight (Mon-Sun)
Ice Cream,Carpe Diem,4083 votes,4.4,"18M, Park Street Area, Kolkata",Ice Cream,"₹1,000","12noon – 12midnight (Mon, Tue, Wed, Thu, Fri..."
Ice Cream,Barbeque Nation,5455 votes,4.6,"1st Floor, 24, Park Center Building, Park Street Area, Kolkata",Ice Cream,"₹1,800","12noon – 3:30pm, 6:30pm – 10:45pm (Mon-Sun)"
"Chinese, North Indian, Continental",Flurys,4709 votes,4.2,"15, Apeejay House, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹400,7:30am – 11pm (Mon-Sun)
"Chinese, North Indian, Continental",KFC,2135 votes,4.1,"20K, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹450,11am – 11pm (Mon-Sun)
"North Indian, Chinese, Kebab, BBQ",Tung Fong,3644 votes,4.3,"25 B, Ground Floor, Karnani Mansion, Free School Street, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","₹1,000","12noon – 4pm, 6pm – 11pm (Mon-Sun)"
"North Indian, Chinese, Kebab, BBQ",Arsalan,1500 votes,4.0,"119 A, Muzaffar Ahmed Street, Mirza Ghalib Street Crossing, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","₹1,000",11am – 11:45pm (Mon-Sun)
"Bakery, Desserts, Sandwich",Kusum Rolls,1973 votes,4.1,"21, Karnani Mansion, Park Street Area, Kolkata","Bakery, Desserts, Sandwich",₹300,12noon – 11pm (Mon-Sun)
"Bakery, Desserts, Sandwich",Kareem's,1027 votes,4.3,"55 B, Mirza Ghalib Street, Park Street Area, Kolkata","Bakery, Desserts, Sandwich","₹1,200","12:30pm – 4:30pm, 6:30pm – 11:30pm (Mon-Sun)"
"Fast Food, Burger",WOW! China,53 votes,3.8,"19-57, Park Street Area, Kolkata","Fast Food, Burger",₹650,12noon – 11pm (Mon-Sun)
"Fast Food, Burger",Golden Spoon,1000 votes,3.6,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata","Fast Food, Burger",₹600,12noon – 11pm (Mon-Sun)
"Chinese, Asian",BarBQ,8321 votes,4.3,"43-47-55, Park Street Area, Kolkata","Chinese, Asian","₹1,200",12noon – 11:15pm (Mon-Sun)
"Chinese, Asian",The Kebab Factory,Cuisines:,NEW,"33, Royd Street, Park Street Area, Kolkata","Chinese, Asian",₹350,11am – 11pm (Mon-Sun)
"Mughlai, North Indian, Rolls, Biryani",Patisserie By Franziska,Cuisines:,,"13C, Russell Street, Opposite Bengal Club, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani",₹450,
"Mughlai, North Indian, Rolls, Biryani",The Sixth Sense,92 votes,4.0,"25B, Karnani Mansion, Opposite Westside, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani","₹1,500","12noon – 12midnight (Mon-Thu),12noon – 2am..."
Rolls,Food King,23 votes,3.3,"90/1, Ground Floor, Muzaffar Ahmed Street, Ward 62, BR-4, Park Street Area, Kolkata",Rolls,₹300,12noon – 11:30pm (Mon-Sun)
Rolls,Burgrill,888 votes,4.2,"12B/2, Park Street Park, Opposite Oxford Book Store, Park Street Area, Kolkata",Rolls,₹500,11am – 2am (Mon-Sun)
"Biryani, North Indian, Mughlai",Zainab Biryani,Cuisines:,NEW,"19, Alimuddin Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹400,11am – 11pm (Mon-Sun)
"Biryani, North Indian, Mughlai",The Crepe Cafe,81 votes,4.4,"6/1A, Middleton Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹800,10:30am – 10:30pm (Mon-Sun)
"Chinese, Burmese",Waffle Wallah,979 votes,4.2,"18 G, Stephen Court, Park Street Area, Kolkata","Chinese, Burmese",₹450,8am – 11pm (Mon-Sun)
"Chinese, Burmese",Shiraz Golden Restaurant,2552 votes,4.0,"135, Park Street Area, Kolkata","Chinese, Burmese",₹600,12noon – 11:30pm (Mon-Sun)
"North Indian, Chinese, Mughlai",Moulin Rouge,1019 votes,3.8,"31, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",₹700,12noon – 11:30pm (Mon-Sun)
"North Indian, Chinese, Mughlai",Pizza Hut,66 votes,3.7,"20 K, Sir William Jones Sarani, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",₹600,11am – 1am (Mon-Sun)
"Chinese, North Indian, Asian",NFC Food Funda,71 votes,3.9,"48, AJC Bose Road, Near Mother Teresa House, Park Street Area, Kolkata","Chinese, North Indian, Asian",₹200,12:30pm – 12midnight (Mon-Sun)
"Chinese, North Indian, Asian",1000 BC,341 votes,3.9,"Ground Floor, 1, Camac Street, Park Street Area, Kolkata","Chinese, North Indian, Asian","₹1,000",12noon – 2am (Mon-Sun)
Kebab,Eaterniaa,505 votes,4.1,"111, Ripon Street, Near Ripon Street Police Museum, Park Street Area, Kolkata",Kebab,₹500,11:30am – 12midnight (Mon-Sun)
Kebab,Barista,45 votes,3.5,"57, Park Street, Park Street Area, Kolkata",Kebab,₹600,8am – 11pm (Mon-Sun)
"Bakery, Desserts",Hot Kati Roll,816 votes,3.8,"1B, Park Estate, Park Street Area, Kolkata","Bakery, Desserts",₹200,11am – 10pm (Mon-Sun)
"Bakery, Desserts",One Step Up,1770 votes,4.1,"18A, Park Street, Park Street Area, Kolkata","Bakery, Desserts","₹1,000",12noon – 11pm (Mon-Sun)
"Continental, Chinese, North Indian",Domino's Pizza,99 votes,3.9,"31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata","Continental, Chinese, North Indian",₹400,11am – 3am (Mon-Sun)
"Continental, Chinese, North Indian",Aqua - The Park,801 votes,4.0,"The Park, 17, Park Street Area, Kolkata","Continental, Chinese, North Indian","₹3,000",
"Chinese, Fast Food",Roll It Out,80 votes,3.9,"2, Middle Row, Park Street Area, Kolkata","Chinese, Fast Food",₹350,"11am – 1am (Mon),11am – 3am (Tue-Sun)"
"Chinese, Fast Food",Paradise Biryani,Cuisines:,NEW,"Shop 30 D, Ground Floor, Building Chowringhee Mansion, Jawaharlal Nehru Road, Park Street Area, Kolkata","Chinese, Fast Food",₹800,11am – 11pm (Mon-Sun)
"Fast Food, Burger, Healthy Food",Nawab Dum Biryani,21 votes,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food",₹500,11am – 4am (Mon-Sun)
"Fast Food, Burger, Healthy Food",The Bridge - The Park,676 votes,4.0,"The Park, 17, Park Street, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food","₹3,000",12noon – 11pm (Mon-Sun)
"Biryani, Mughlai",Koshe Kosha,640 votes,4.0,"1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata","Biryani, Mughlai",₹700,11am – 11pm (Mon-Sun)
"Biryani, Mughlai",The GT Route - Jameson Inn Shiraz,167 votes,3.9,"56, Park Street Area, Kolkata","Biryani, Mughlai",₹850,"12noon – 4pm, 7:30pm – 11:30pm (Mon-Sun)"
Cafe,Aurum Club & Kitchen,577 votes,4.1,"1/1, Camac Street, Opposite Allen Park, Park Street Area, Kolkata",Cafe,"₹1,000",1pm – 2am (Mon-Sun)
Cafe,Sienna Store & Cafe,Cuisines:,,"24, 1st Floor, Development House, Park Street Area, Kolkata",Cafe,₹900,
"Desserts, Bakery, Beverages",Trincas,1465 votes,4.1,"17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","₹1,500",11:30am – 11:30pm (Mon-Sun)
